id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,firstName.cs,firstName.fi,firstName.sk,teamName.fr,firstName.de,firstName.es,firstName.sv,lastName.sv,firstName.fr,lastName.de,lastName.es
8482964,72,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482964.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,D,1,Arber,Xhekaj,Canadiens,,,,,,,,,,,,,,
8484258,70,https://assets.nhle.com/mugs/nhl/20242025/COL/8484258.png,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,D,1,Sam,Malinski,Avalanche,,,,,,,,,,,,,,
8478443,25,https://assets.nhle.com/mugs/nhl/20242025/BOS/8478443.png,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,D,1,Brandon,Carlo,Bruins,,,,,,,,,,,,,,
8483505,51,https://assets.nhle.com/mugs/nhl/20242025/BOS/8483505.png,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,C,1,Matthew,Poitras,Bruins,,,,,,,,,,,,,,
8483491,63,https://assets.nhle.com/mugs/nhl/20242025/WSH/8483491.png,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,L,1,Ivan,Miroshnichenko,Capitals,,,,,,,,,,,,,,
8480879,24,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480879.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,D,1,Jacob,Bernard-Docker,Senators,,,,,,,Sénateurs,,,,,,,
8480011,10,https://assets.nhle.com/mugs/nhl/20242025/SJS/8480011.png,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,C,1,Klim,Kostin,Sharks,,,,,,,,,,,,,,
8479402,24,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479402.png,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,D,1,Jake,Bean,Flames,,,,,,,,,,,,,,
8477527,44,https://assets.nhle.com/mugs/nhl/20242025/ANA/8477527.png,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,L,1,Ross,Johnston,Ducks,,,,,,,,,,,,,,
8478424,38,https://assets.nhle.com/mugs/nhl/20242025/ANA/8478424.png,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,C,1,Jansen,Harkins,Ducks,,,,,,,,,,,,,,
8478432,36,https://assets.nhle.com/mugs/nhl/20242025/DET/8478432.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,R,1,Christian,Fischer,Red Wings,,,,,,,,,,,,,,
