id,sweaterNumber,headshot,teamAbbrev,teamLogo,position,value,firstName.default,lastName.default,teamName.default,lastName.cs,lastName.fi,lastName.sk,lastName.sv,firstName.cs,firstName.sk,firstName.fi,teamName.fr
8483710,35,https://assets.nhle.com/mugs/nhl/20242025/TOR/8483710.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,G,3,Dennis,Hildeby,Maple Leafs,,,,,,,,
8475883,31,https://assets.nhle.com/mugs/nhl/20242025/CAR/8475883.png,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,G,3,Frederik,Andersen,Hurricanes,,,,,,,,
8482487,75,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482487.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,G,3,Jakub,Dobes,Canadiens,,,,,,,,
8477967,35,https://assets.nhle.com/mugs/nhl/20242025/VAN/8477967.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,G,2,Thatcher,Demko,Canucks,,,,,,,,
8482982,73,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8482982.png,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,G,2,Jet,Greaves,Blue Jackets,,,,,,,,
8480051,30,https://assets.nhle.com/mugs/nhl/20242025/MTL/8480051.png,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,G,2,Cayden,Primeau,Canadiens,,,,,,,,
8483530,33,https://assets.nhle.com/mugs/nhl/20242025/UTA/8483530.png,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,G,2,Jaxson,Stauber,Utah Hockey Club,,,,,,,,Club de hockey de l'Utah
8482221,27,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482221.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,G,2,Devon,Levi,Sabres,,,,,,,,
8478024,35,https://assets.nhle.com/mugs/nhl/20242025/DET/8478024.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,G,1,Ville,Husso,Red Wings,,,,,,,,
8473503,47,https://assets.nhle.com/mugs/nhl/20242025/BUF/8473503.png,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,G,1,James,Reimer,Sabres,,,,,,,,
8481668,31,https://assets.nhle.com/mugs/nhl/20242025/VAN/8481668.png,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,G,1,Arturs,Silovs,Canucks,Šilovs,,Šilovs,,,,,
8477405,50,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477405.png,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,G,1,Marcus,Hogberg,Islanders,Högberg,,Högberg,,,,,
8481544,40,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481544.png,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,G,1,Mads,Sogaard,Senators,,Søgaard,,Søgaard,,,,Sénateurs
8476899,30,https://assets.nhle.com/mugs/nhl/20242025/TOR/8476899.png,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,G,1,Matt,Murray,Maple Leafs,,,,,,,,
8481707,1,https://assets.nhle.com/mugs/nhl/20242025/LAK/8481707.png,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,G,1,Erik,Portillo,Kings,,,,,,,,
8482657,33,https://assets.nhle.com/mugs/nhl/20242025/DET/8482657.png,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,G,1,Sebastian,Cossa,Red Wings,,,,,,,,
8475839,70,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475839.png,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,G,1,Louis,Domingue,Rangers,,,,,,,,
