"player_id","season_id","game_type_id"
8448960,19961997,3
8462824,19961997,3
8477290,20202021,3
8460105,19981999,3
8456060,19921993,2
8479339,20232024,2
8446895,19391940,3
8448356,19741975,3
8449494,19701971,3
8458524,19951996,3
8477932,20192020,3
8445024,19701971,2
8469758,20022003,2
8458617,19951996,3
8449303,19581959,3
8447775,19861987,3
8446469,19831984,3
8476438,20142015,3
8471668,20102011,3
8452584,19941995,3
8478519,20232024,3
8446711,19841985,3
8449476,19751976,2
8450178,19751976,2
8476316,20152016,2
8477970,20212022,2
8445266,19921993,3
8475431,20112012,2
8451493,19851986,3
8471817,20152016,3
8445135,19271928,3
8451245,19721973,3
8444987,19351936,3
8471709,20122013,3
8446651,19391940,3
8458530,20082009,3
8445262,19301931,3
8450833,19901991,3
8448057,19541955,3
8445603,19821983,2
8446423,19901991,3
8447066,19831984,3
8450075,19721973,3
8475798,20212022,3
8451102,19781979,3
8471236,20062007,3
8458069,20032004,3
8451828,19891990,3
8470740,20102011,3
8475717,20142015,2
8481709,20212022,2
8446323,19811982,3
8446558,19301931,3
8468778,20082009,3
8448487,19921993,3
8445769,20052006,3
8448373,19711972,2
8447042,19771978,2
8477950,20232024,2
8446303,19951996,3
8470640,20062007,3
8470594,20082009,2
8447154,19671968,2
8447513,19741975,3
8447716,19531954,3
8481578,20232024,2
8481601,20232024,3
8445305,19571958,2
8459541,20002001,3
8484144,20242025,2
8480336,20242025,2
8474628,20112012,3
8479772,20222023,3
8477967,20182019,2
8449742,19891990,3
8452556,19891990,3
8447164,19651966,2
8475789,20212022,3
8476914,20162017,2
8447296,19821983,3
8451143,19791980,3
8452488,19741975,3
8469501,20142015,3
8470966,20062007,3
8449735,19791980,3
8447371,19271928,3
8447725,19821983,3
8452492,19801981,3
8465978,20152016,3
8446631,19291930,3
8458530,20062007,3
8468542,20082009,3
8470072,20052006,3
8446720,19711972,3
8445194,19381939,3
8450343,19831984,2
8445638,19551956,2
8476162,20122013,3
8451774,20032004,3
8476288,20162017,3
8445868,19401941,3
8447632,19521953,3
8458069,19951996,3
8476822,20222023,3
8480014,20212022,3
8448848,19851986,3
8477967,20192020,3
8477940,20182019,3
8449363,19481949,3
8445132,19421943,3
8466147,20032004,3
8480865,20232024,3
8451033,19871988,3
8476346,20182019,3
8451427,19981999,3
8446626,19971998,3
8476882,20232024,2
8475193,20172018,3
8448031,19701971,2
8447740,19731974,2
8448034,19311932,3
8459001,20082009,3
8445116,19541955,2
8475361,20132014,2
8448729,19701971,2
8449525,19791980,3
8476945,20202021,2
8452140,19671968,3
8474034,20132014,3
8448356,19691970,3
8475158,20192020,3
8448539,19941995,3
8465036,19971998,2
8448106,19871988,3
8447223,19541955,2
8447730,19791980,3
8451406,19811982,2
8445105,19461947,3
8449265,19711972,2
8476979,20222023,3
8449951,20012002,3
8456729,20012002,3
8445827,19691970,3
8446699,19501951,3
8474709,20142015,3
8470604,20072008,3
8447300,19761977,3
8450620,19911992,3
8458602,19941995,3
8447039,19841985,3
8452150,19801981,3
8447757,19741975,3
8449132,19591960,2
8480031,20232024,2
8449295,19981999,3
8476999,20192020,2
8449938,19821983,3
8474636,20152016,2
8477998,20232024,3
8448770,19921993,3
8449751,19931994,3
8447837,19601961,3
8478902,20212022,3
8447540,19611962,2
8449059,19261927,3
8449320,19751976,2
8449321,19681969,3
8447291,19891990,2
8467831,20092010,3
8448603,19881989,3
8451334,19961997,3
8446720,19721973,3
8446558,19261927,3
8459028,20022003,2
8451836,19851986,3
8448249,19701971,2
8475164,20152016,3
8447172,19681969,3
8475181,20242025,2
8448274,19851986,2
8475625,20122013,3
8449993,19541955,3
8479393,20232024,2
8447047,19801981,3
8446599,19571958,2
8447505,19811982,3
8458954,19992000,3
8468515,20112012,3
8470880,20192020,3
8450308,19751976,3
8448490,19961997,3
8444955,19631964,2
8450348,19821983,2
8449602,19581959,2
8448214,19541955,3
8448235,19541955,3
8458978,20032004,3
8446794,19721973,3
8470151,20132014,3
8459436,19992000,3
8445496,19181919,3
8448937,19761977,3
8458075,19981999,2
8467391,20132014,2
8448483,19901991,3
8451253,19841985,3
8446181,19911992,3
8447489,19911992,3
8448208,19911992,3
8445132,19541955,3
8446167,19871988,3
8459700,19992000,3
8466160,20022003,3
8452216,19941995,3
8471227,20152016,2
8479324,20242025,2
8445957,19621963,3
8459628,20132014,3
8480078,20212022,3
8480806,20242025,2
8445395,19821983,3
8450125,19781979,2
8447322,19571958,3
8478468,20192020,3
8446488,19651966,2
8448846,19801981,3
8448320,19641965,3
8467950,20032004,2
8459996,19951996,2
8471677,20242025,2
8475247,20142015,3
8446584,19751976,2
8464715,20022003,2
8465025,20062007,3
8459048,19961997,2
8476399,20242025,2
8448427,19661967,3
8475753,20242025,2
8446181,19992000,3
8475825,20222023,3
8470614,20082009,3
8445839,19281929,3
8447837,19611962,2
8448415,19992000,3
8449835,19621963,3
8470860,20112012,3
8475770,20132014,3
8473504,20142015,3
8446205,19921993,3
