season_id,team_id,game_type
19471948,BOS,3
19481949,BOS,3
19481949,BOS,2
19491950,BOS,2
19501951,BOS,3
19501951,BOS,2
19511952,BOS,3
19511952,BOS,2
19521953,BOS,2
19521953,BOS,3
19531954,BOS,2
19531954,BOS,3
19541955,BOS,2
19541955,BOS,3
19551956,BOS,2
19561957,BOS,3
19561957,BOS,2
19571958,BOS,3
19571958,BOS,2
19581959,BOS,3
19581959,BOS,2
19591960,BOS,2
19601961,BOS,2
19611962,BOS,2
19621963,BOS,2
19631964,BOS,2
19641965,BOS,2
19651966,BOS,2
19661967,BOS,2
19671968,BOS,2
19671968,BOS,3
19681969,BOS,3
19681969,BOS,2
19691970,BOS,2
19691970,BOS,3
19701971,BOS,2
19701971,BOS,3
19711972,BOS,2
19711972,BOS,3
19721973,BOS,2
19721973,BOS,3
19731974,BOS,3
19731974,BOS,2
19741975,BOS,3
19741975,BOS,2
19751976,BOS,2
19751976,BOS,3
19761977,BOS,3
19761977,BOS,2
19771978,BOS,2
19771978,BOS,3
19781979,BOS,2
19781979,BOS,3
19791980,BOS,2
19791980,BOS,3
19801981,BOS,3
19801981,BOS,2
19811982,BOS,2
19811982,BOS,3
19821983,BOS,3
19821983,BOS,2
19831984,BOS,2
19831984,BOS,3
19841985,BOS,3
19841985,BOS,2
19851986,BOS,2
19851986,BOS,3
19861987,BOS,3
19861987,BOS,2
19871988,BOS,2
19871988,BOS,3
19881989,BOS,2
19881989,BOS,3
19891990,BOS,2
19891990,BOS,3
19901991,BOS,3
19901991,BOS,2
19911992,BOS,2
19911992,BOS,3
19921993,BOS,3
19921993,BOS,2
19931994,BOS,2
19931994,BOS,3
19941995,BOS,3
19941995,BOS,2
19951996,BOS,3
19951996,BOS,2
19961997,BOS,2
19971998,BOS,2
19971998,BOS,3
19981999,BOS,3
19981999,BOS,2
19992000,BOS,2
20002001,BOS,2
20012002,BOS,2
20012002,BOS,3
20022003,BOS,3
20022003,BOS,2
20032004,BOS,2
20032004,BOS,3
20052006,BOS,2
20062007,BOS,2
20072008,BOS,3
20072008,BOS,2
20082009,BOS,2
20082009,BOS,3
20092010,BOS,3
20092010,BOS,2
20102011,BOS,2
20102011,BOS,3
20112012,BOS,2
20112012,BOS,3
20122013,BOS,2
20122013,BOS,3
20132014,BOS,3
20132014,BOS,2
20142015,BOS,2
20152016,BOS,2
20162017,BOS,2
20162017,BOS,3
20172018,BOS,2
20172018,BOS,3
20182019,BOS,2
20182019,BOS,3
20192020,BOS,3
20192020,BOS,2
20202021,BOS,3
20202021,BOS,2
20212022,BOS,3
20212022,BOS,2
20222023,BOS,3
20222023,BOS,2
20232024,BOS,2
20232024,BOS,3
20242025,BOS,2
19411942,BRK,2
19701971,BUF,2
19711972,BUF,2
19721973,BUF,2
19721973,BUF,3
19731974,BUF,2
19741975,BUF,2
19741975,BUF,3
19751976,BUF,3
19751976,BUF,2
19761977,BUF,3
19761977,BUF,2
19771978,BUF,3
19771978,BUF,2
19781979,BUF,3
19781979,BUF,2
19791980,BUF,3
19791980,BUF,2
19801981,BUF,2
19801981,BUF,3
